dim,vcycle_converged_with_allocation,vcycle_time_with_allocation,vcycle_iterations_with_allocation,wcycle_converged_with_allocation,wcycle_time_with_allocation,wcycle_iterations_with_allocation,standard_converged_with_allocation,standard_time_with_allocation,standard_iterations_with_allocation,vcycle_converged_no_allocation,vcycle_time_no_allocation,vcycle_iterations_no_allocation,wcycle_converged_no_allocation,wcycle_time_no_allocation,wcycle_iterations_no_allocation,standard_converged_no_allocation,standard_time_no_allocation,standard_iterations_no_allocation,vcycle_wu,wcycle_wu,standard_wu
256,1,3.8732619285583496,27,1,7.327447414398193,13,,,,1,0.8860824108123779,27,1,3.8711371421813965,13,,,,223.99658203125,167.34375,
512,1,5.291380405426025,27,1,11.146057605743408,12,,,,1,1.140650987625122,27,1,6.792736053466797,12,,,,223.9991455078125,155.6953125,
1024,1,10.6982262134552,27,1,20.802669048309326,11,,,,1,1.9403455257415771,27,1,11.728715896606445,11,,,,223.99978637695312,143.859375,
2048,1,31.14959692955017,28,1,47.741313219070435,10,,,,1,4.997493743896484,28,1,21.387208461761475,10,,,,231.99994468688965,131.935546875,
16,,,,,,,1,0.31850194931030273,200,,,,,,,1,0.03835272789001465,200,,,201.0
21,,,,,,,1,0.2073981761932373,300,,,,,,,1,0.043154001235961914,300,,,301.0
27,,,,,,,1,0.21236371994018555,400,,,,,,,1,0.04723238945007324,400,,,401.0
35,,,,,,,1,0.32886219024658203,800,,,,,,,1,0.06543517112731934,800,,,801.0
46,,,,,,,1,0.374100923538208,1600,,,,,,,1,0.10120153427124023,1600,,,1601.0
60,,,,,,,1,0.3390631675720215,2800,,,,,,,1,0.15648579597473145,2800,,,2801.0
78,,,,,,,1,0.43838024139404297,4600,,,,,,,1,0.23763775825500488,4600,,,4601.0
101,,,,,,,1,0.6019287109375,7800,,,,,,,1,0.3798048496246338,7800,,,7801.0
131,,,,,,,1,0.9990830421447754,13400,,,,,,,1,0.6377720832824707,13400,,,13401.0
170,,,,,,,1,1.7106785774230957,22400,,,,,,,1,1.250293254852295,22400,,,22401.0
221,,,,,,,1,3.660468339920044,38000,,,,,,,1,3.093785285949707,38000,,,38001.0
287,,,,,,,1,8.515785932540894,64200,,,,,,,1,7.761325120925903,64200,,,64201.0
373,,,,,,,1,23.898682117462158,108600,,,,,,,1,22.849917888641357,108600,,,108601.0
485,,,,,,,1,63.94691491127014,183600,,,,,,,1,62.50906205177307,183600,,,183601.0
630,,,,,,,1,179.7394986152649,310000,,,,,,,1,177.3762640953064,310000,,,310001.0
16,1,1.3837742805480957,16,1,1.9192302227020264,15,,,,1,0.29982614517211914,16,1,0.5627288818359375,15,,,,135.46875,180.0,
32,1,1.9137840270996094,23,1,2.6284351348876953,17,,,,1,0.4406306743621826,23,1,0.9851963520050049,17,,,,191.8125,209.25,
64,1,2.348045587539673,26,1,3.502347469329834,14,,,,1,0.5721406936645508,26,1,1.4394311904907227,14,,,,215.947265625,177.1875,
128,1,3.036078453063965,27,1,4.8408403396606445,14,,,,1,0.7322378158569336,27,1,2.4939472675323486,14,,,,223.986328125,178.59375,
256,1,3.848529815673828,27,1,7.344452142715454,13,,,,1,0.8890202045440674,27,1,4.086446762084961,13,,,,223.99658203125,167.34375,
512,1,5.32271933555603,27,1,11.213538646697998,12,,,,1,1.1398208141326904,27,1,6.554701566696167,12,,,,223.9991455078125,155.6953125,
1024,1,10.777066469192505,27,1,20.98104238510132,11,,,,1,1.9172923564910889,27,1,11.26866102218628,11,,,,223.99978637695312,143.859375,
2048,1,32.07749104499817,28,1,48.84012770652771,10,,,,1,5.01050877571106,28,1,21.690881490707397,10,,,,231.99994468688965,131.935546875,
16,,,,,,,1,0.298750638961792,200,,,,,,,1,0.0378720760345459,200,,,201.0
21,,,,,,,1,0.30210065841674805,300,,,,,,,1,0.04281473159790039,300,,,301.0
27,,,,,,,1,0.21187877655029297,400,,,,,,,1,0.04689311981201172,400,,,401.0
35,,,,,,,1,0.3319835662841797,800,,,,,,,1,0.06567931175231934,800,,,801.0
46,,,,,,,1,0.37361621856689453,1600,,,,,,,1,0.10158777236938477,1600,,,1601.0
